"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-04-08","82.1","1.76","6.28","Steele, Justin",608369,657006,"field_out","hit_into_play",,,,,8,"Corey Seager flies out to left fielder Ian Happ.","R","L","L","CHC","TEX","X",7,"fly_ball",1,0,2023,"-1.39","-0.05","-0.17","1.76",,,,0,5,"Top",71.66,94.85,,,543228,,,-1.6802718625944912,-119.59133822796466,-3.536069641611156,-12.893102153728348,24.76067909662516,-32.167287676198,"3.53","1.59",291,"92.5",42,"81.4",2702,"5.9",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.58",0.006,0.007,"0",1,0,0,3,38,2,"Slider",3,1,1,3,1,3,1,3,"Strategic","Standard",312,"0.028","-0.274"
"SL","2023-04-08","82.2","1.84","6.22","Steele, Justin",608369,657006,,"ball",,,,,13,"Corey Seager flies out to left fielder Ian Happ.","R","L","L","CHC","TEX","B",,,0,0,2023,"-1.05","0.21","-0.94","1.43",,,,0,5,"Top",,,,,543228,,,-4.245144234240866,-119.65432302282761,-4.7030199428915855,-9.235481550679326,24.20752753047363,-29.427057020960305,"3.19","1.37",,,,"82",2765,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.27",,,,,,,,38,1,"Slider",3,1,1,3,1,3,1,3,"Strategic","Standard",309,"0","0.037"
"FF","2023-04-08","92.8","1.77","6.1","Steele, Justin",543760,657006,"field_out","hit_into_play",,,,,4,"Marcus Semien grounds out, third baseman Nick Madrigal to first baseman Trey Mancini.","R","R","L","CHC","TEX","X",5,"ground_ball",0,0,2023,"0.07","0.88","-0.47","2.67",,,,2,4,"Top",96.36,165.31,,,543228,,,-5.89468895279918,-135.0420223122131,-4.989988519511126,1.9980128074253367,26.43748025823196,-20.52903078270077,"3.34","1.65",54,"83.9",2,"93.5",2491,"6.5",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.02",0.286,0.287,"0",1,0,0,2,33,1,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",167,"0.013","-0.106"
"FF","2023-04-08","92.5","1.92","6.04","Steele, Justin",677649,657006,"field_out","hit_into_play",,,,,5,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","X",4,"ground_ball",3,2,2023,"-0.09","1.08","-0.13","2.56",,,,1,4,"Top",135.71,139.9,,,543228,,,-5.0040318308366984,-134.55375746391604,-5.404617681859448,-0.06767583262704177,28.192874249884394,-18.10386937052065,"3.32","1.57",12,"83.4",-11,"92.4",2449,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.33",0.1,0.093,"0",1,0,0,2,32,7,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",172,"0.02","-0.206"
"SL","2023-04-08","83","1.83","6.11","Steele, Justin",677649,657006,,"ball",,,,,13,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","B",,,2,2,2023,"-0.96","-0.03","-0.54","0.43",,,,1,4,"Top",,,,,543228,,,-3.545442227305232,-120.79655540559074,-6.501948387830065,-8.73316204981253,22.53643317054785,-31.428791580472282,"3.08","1.44",,,,"83.2",2737,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.21",,,,,,,,32,6,"Slider",2,1,1,2,1,2,1,2,"Standard","Standard",313,"0","0.06"
"FF","2023-04-08","93.3","1.82","6.14","Steele, Justin",677649,657006,,"foul",,,,,12,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","S",,,2,2,2023,"0.05","0.85","0.36","3.5",,,,1,4,"Top",,,,,543228,,,-3.8685175891038184,-135.87783771581596,-2.9584255548419964,1.4077503271241134,27.78596198905524,-21.140539299923468,"3.32","1.57",304,"94",28,"93.9",2396,"6.4",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.08",,,,,,,,32,5,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",163,"0","0"
"CU","2023-04-08","81.5","1.49","6.23","Steele, Justin",677649,657006,,"ball",,,,,13,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","B",,,1,2,2023,"-0.87","-0.77","-1.15","0.33",,,,1,4,"Top",,,,,543228,,,-4.27490210139756,-118.64456542392544,-5.185642913589915,-7.327887189059456,23.350241460241076,-38.603969390091926,"2.97","1.42",,,,"81.6",2925,"6.4",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.11",,,,,,,,32,4,"Curveball",2,1,1,2,1,2,1,2,"Standard","Standard",317,"0","0.028"
"SL","2023-04-08","83.6","1.86","6.25","Steele, Justin",677649,657006,,"swinging_strike",,,,,1,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","S",,,1,1,2023,"-1.33","0.18","-0.49","3.28",,,,1,4,"Top",,,,,543228,,,-2.7801089163033765,-121.79485703699162,-0.7566007863552182,-12.611420010893582,24.88449699099803,-30.493363563942662,"3.32","1.57",,,,"83",2668,"5.9",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.56",,,,,,,,32,3,"Slider",2,1,1,2,1,2,1,2,"Standard","Standard",309,"0","-0.044"
"FF","2023-04-08","92","1.86","6.17","Steele, Justin",677649,657006,,"swinging_strike",,,,,13,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","S",,,1,0,2023,"-0.22","1.14","-0.95","1.86",,,,1,4,"Top",,,,,543228,,,-6.586035565289048,-133.62035271810234,-7.4683174992196655,-1.145101634788767,30.17109622322762,-17.043816699233172,"3.32","1.57",9,,,"91.2",2484,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.46",,,,,,,,32,2,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",157,"0","-0.033"
"FF","2023-04-08","92.5","1.78","6.12","Steele, Justin",677649,657006,,"ball",,,,,13,"Ezequiel Duran grounds out, second baseman Nico Hoerner to first baseman Trey Mancini.","R","R","L","CHC","TEX","B",,,0,0,2023,"-0.11","0.93","-1.46","1.04",,,,1,4,"Top",,,,,543228,,,-8.017365519958062,-134.15672755551373,-9.11981667306192,0.556522987091968,31.13741842616097,-18.989926533070626,"3.15","1.51",,,,"92.1",2501,"6.4",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.1",,,,,,,,32,1,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",161,"0","0.026"
